Rule
['High CN'] --> ['Moderate PostTest']
['High CRF'] --> ['Moderate PostTest']
['High ESF'] --> ['Moderate PostTest']
['Low PreTest'] --> ['High PostTest']
['Low TP'] --> ['High PostTest']
['Moderate Stress'] --> ['High PostTest']
['Severe Depression'] --> ['High PostTest']
['High TN'] --> ['Moderate PostTest']
['Mild Stress'] --> ['Moderate PostTest']
['Moderate Anxiety'] --> ['Moderate PostTest']
['Moderate Depression'] --> ['Moderate PostTest']
"['High TP', 'High CN'] --> ['High PostTest']"
"['Moderate CRF', 'High CN'] --> ['High PostTest']"
"['High CN', 'Normal Depression'] --> ['High PostTest']"
"['Normal Stress', 'High CN'] --> ['High PostTest']"
"['Moderate Stress', 'High CP'] --> ['High PostTest']"
"['High CRF', 'Low ESF'] --> ['High PostTest']"
"['Mild Depression', 'High ESF'] --> ['High PostTest']"
"['High PreTest', 'Moderate Stress'] --> ['High PostTest']"
"['High TN', 'Moderate PreTest'] --> ['High PostTest']"
"['High TN', 'Normal Depression'] --> ['High PostTest']"
"['High TN', 'Normal Stress'] --> ['High PostTest']"
"['High TP', 'Moderate Stress'] --> ['High PostTest']"
"['Low CN', 'Low TP'] --> ['High PostTest']"
"['Low CN', 'Mild Stress'] --> ['High PostTest']"
"['Mild Depression', 'Low ESF'] --> ['High PostTest']"
"['Severe Anxiety', 'Low ESF'] --> ['High PostTest']"
"['Mild Stress', 'Low TN'] --> ['High PostTest']"
"['Severe Anxiety', 'Low TN'] --> ['High PostTest']"
"['Low TP', 'Moderate ESF'] --> ['High PostTest']"
"['Low TP', 'Normal Stress'] --> ['High PostTest']"
"['Mild Stress', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Mild Depression'] --> ['High PostTest']"
"['Mild Stress', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate Depression'] --> ['High PostTest']"
"['Normal Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate Stress'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate CP', 'Positive Delta', 'High CRF'] --> ['High PostTest']"
"['Moderate ESF', 'High CRF', 'Moderate Depression'] --> ['High PostTest']"
"['Normal Stress', 'High CRF', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate TP', 'High CRF'] --> ['High PostTest']"
"['Moderate ESF', 'High CRF', 'Severe Anxiety'] --> ['High PostTest']"
"['High CRF', 'Moderate TN', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate TP', 'High CRF', 'Moderate PreTest'] --> ['High PostTest']"
"['High CRF', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate TP', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate TP', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate TP', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Negative Delta', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Severe Anxiety', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Low CN', 'High ESF', 'Mild Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'High ESF', 'Mild Anxiety'] --> ['High PostTest']"
"['Moderate Anxiety', 'High ESF', 'Normal Depression'] --> ['High PostTest']"
"['High ESF', 'Moderate CN', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'High ESF', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate CP', 'High ESF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'High ESF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CRF', 'High ESF', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate CRF', 'High ESF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate TP', 'High ESF', 'Moderate PreTest'] --> ['High PostTest']"
"['High ESF', 'Moderate PreTest', 'Normal Anxiety'] --> ['High PostTest']"
"['High ESF', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['High ESF', 'Normal Depression', 'Moderate TN'] --> ['High PostTest']"
"['Moderate TP', 'High ESF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate TP', 'High ESF', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'Mild Stress', 'High PreTest'] --> ['High PostTest']"
"['Low CN', 'High PreTest', 'Severe Anxiety'] --> ['High PostTest']"
"['Normal Anxiety', 'High PreTest', 'Low ESF'] --> ['High PostTest']"
"['Severe Anxiety', 'Mild Depression', 'High PreTest'] --> ['High PostTest']"
"['Moderate ESF', 'High PreTest', 'Moderate Stress'] --> ['High PostTest']"
"['Severe Anxiety', 'High PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'High PreTest', 'Normal Stress'] --> ['High PostTest']"
"['Moderate CP', 'Moderate CRF', 'High TN'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate CRF', 'High TN'] --> ['High PostTest']"
"['High TP', 'Mild Stress', 'Low ESF'] --> ['High PostTest']"
"['High TP', 'Moderate TN', 'Low ESF'] --> ['High PostTest']"
"['High TP', 'Low TN', 'Severe Anxiety'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Mild Anxiety'] --> ['High PostTest']"
"['High TP', 'Mild Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['High TP', 'Mild Depression', 'Severe Anxiety'] --> ['High PostTest']"
"['High TP', 'Moderate PreTest', 'Moderate Depression'] --> ['High PostTest']"
"['High TP', 'Severe Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'Moderate Anxiety', 'Low ESF'] --> ['High PostTest']"
"['Low CN', 'Moderate CP', 'Low ESF'] --> ['High PostTest']"
"['Low CN', 'Negative Delta', 'Mild Anxiety'] --> ['High PostTest']"
"['Low CN', 'Moderate CRF', 'Mild Stress'] --> ['High PostTest']"
"['Low CN', 'Mild Stress', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Mild Stress', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'Mild Stress', 'Positive Delta'] --> ['High PostTest']"
"['Low CN', 'Moderate CRF', 'Severe Anxiety'] --> ['High PostTest']"
"['Low CN', 'Moderate ESF', 'Moderate Depression'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'Moderate Depression'] --> ['High PostTest']"
"['Low CN', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Moderate TP', 'Severe Anxiety'] --> ['High PostTest']"
"['Low CN', 'Severe Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CP', 'Low TN', 'Low ESF'] --> ['High PostTest']"
"['Moderate TP', 'Low TN', 'Low ESF'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate CN', 'Low ESF'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate TN', 'Low ESF'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate PreTest', 'Low ESF'] --> ['High PostTest']"
"['Moderate CN', 'Moderate PreTest', 'Low ESF'] --> ['High PostTest']"
"['Normal Anxiety', 'Moderate CN', 'Low ESF'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate TN', 'Low ESF'] --> ['High PostTest']"
"['Normal Anxiety', 'Moderate TN', 'Low ESF'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CP', 'Low TN'] --> ['High PostTest']"
"['Mild Depression', 'Low TN', 'Moderate PreTest'] --> ['High PostTest']"
"['Mild Depression', 'Moderate TP', 'Low TN'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate CP', 'Low TN'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate TP', 'Low TN'] --> ['High PostTest']"
"['Moderate CN', 'Low TN', 'Moderate PreTest'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate CRF', 'Low TN'] --> ['High PostTest']"
"['Moderate ESF', 'Low TN', 'Severe Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Mild Anxiety', 'Moderate CN'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CP', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CRF', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Moderate TP', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate CN', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate CP', 'Negative Delta', 'Mild Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'Negative Delta', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Anxiety', 'Normal Stress', 'Moderate Depression'] --> ['High PostTest']"
"['Positive Delta', 'Mild Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate PreTest', 'Moderate TN'] --> ['High PostTest']"
"['Mild Depression', 'Negative Delta', 'Moderate CN'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CP', 'Negative Delta'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Negative Delta', 'Moderate CRF'] --> ['High PostTest']"
"['Mild Depression', 'Negative Delta', 'Moderate TN'] --> ['High PostTest']"
"['Moderate ESF', 'Mild Stress', 'Moderate TP'] --> ['High PostTest']"
"['Negative Delta', 'Moderate CN', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate PreTest', 'Moderate Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate CRF', 'Moderate PreTest'] --> ['High PostTest']"
"['Normal Stress', 'Moderate PreTest', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate PreTest', 'Severe Anxiety'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CRF', 'High ESF', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate ESF', 'High PreTest', 'High TN', 'High CP'] --> ['High PostTest']"
"['Low CN', 'Mild Stress', 'High PreTest', 'High CP'] --> ['High PostTest']"
"['Moderate TP', 'High PreTest', 'Low TN', 'High CP'] --> ['High PostTest']"
"['Mild Stress', 'High PreTest', 'Normal Depression', 'High CP'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate TP', 'High PreTest', 'High CP'] --> ['High PostTest']"
"['Moderate TP', 'High PreTest', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Severe Anxiety', 'High PreTest', 'Normal Stress', 'High CP'] --> ['High PostTest']"
"['Low CN', 'Moderate TP', 'Mild Anxiety', 'High CP'] --> ['High PostTest']"
"['Low CN', 'Moderate CRF', 'Mild Stress', 'High CP'] --> ['High PostTest']"
"['Low CN', 'Mild Stress', 'Moderate ESF', 'High CP'] --> ['High PostTest']"
"['Low CN', 'Mild Stress', 'Positive Delta', 'High CP'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'High CP', 'Moderate Depression'] --> ['High PostTest']"
"['Low CN', 'Moderate TP', 'Moderate ESF', 'High CP'] --> ['High PostTest']"
"['Low CN', 'Moderate TP', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'Severe Anxiety', 'High CP'] --> ['High PostTest']"
"['Normal Stress', 'Moderate CN', 'High CP', 'Low ESF'] --> ['High PostTest']"
"['Normal Depression', 'Moderate TN', 'High CP', 'Low ESF'] --> ['High PostTest']"
"['Mild Depression', 'Mild Anxiety', 'Low TN', 'High CP'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate TP', 'Low TN', 'High CP'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate TP', 'Low TN', 'High CP'] --> ['High PostTest']"
"['Moderate TP', 'Positive Delta', 'Low TN', 'High CP'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CRF', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Moderate PreTest', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Moderate TN', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Stress', 'Normal Depression', 'High CP'] --> ['High PostTest']"
"['Normal Depression', 'Moderate CN', 'Moderate PreTest', 'High CP'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate CRF', 'High CP', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate TP', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate ESF', 'Positive Delta', 'High CP', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate TP', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate TN', 'Moderate PreTest', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate TP', 'Normal Depression', 'Moderate PreTest', 'High CP'] --> ['High PostTest']"
"['Moderate TP', 'Positive Delta', 'High CP', 'Normal Anxiety'] --> ['High PostTest']"
"['High TP', 'High PreTest', 'High CRF', 'Severe Anxiety'] --> ['High PostTest']"
"['Low CN', 'Mild Depression', 'High PreTest', 'High CRF'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'High PreTest', 'High CRF'] --> ['High PostTest']"
"['Moderate CP', 'High PreTest', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CP', 'High PreTest', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Moderate CP', 'Positive Delta', 'High PreTest', 'High CRF'] --> ['High PostTest']"
"['Moderate ESF', 'High PreTest', 'High CRF', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate TP', 'High PreTest', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate TP', 'High PreTest', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['High TP', 'High CRF', 'Moderate ESF', 'Moderate Depression'] --> ['High PostTest']"
"['High TP', 'Positive Delta', 'High CRF', 'Severe Anxiety'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'Mild Anxiety', 'High CRF'] --> ['High PostTest']"
"['Low CN', 'Mild Depression', 'Positive Delta', 'High CRF'] --> ['High PostTest']"
"['Low CN', 'Moderate Anxiety', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Moderate Anxiety', 'High CRF', 'Moderate PreTest'] --> ['High PostTest']"
"['Low CN', 'Moderate TN', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Negative Delta', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Normal Depression', 'High CRF', 'Moderate TN'] --> ['High PostTest']"
"['Low CN', 'Normal Stress', 'High CRF', 'Moderate TN'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'High CRF', 'Moderate TN'] --> ['High PostTest']"
"['Low CN', 'Negative Delta', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Low CN', 'Negative Delta', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'Low TN', 'High CRF'] --> ['High PostTest']"
"['Moderate ESF', 'Negative Delta', 'Low TN', 'High CRF'] --> ['High PostTest']"
"['Mild Depression', 'Normal Stress', 'High CRF', 'Moderate TN'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate CN', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate Anxiety', 'High CRF', 'Moderate ESF', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate Anxiety', 'Normal Stress', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate Anxiety', 'Normal Stress', 'High CRF', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate Anxiety', 'Normal Depression', 'High CRF', 'Moderate TN'] --> ['High PostTest']"
"['Moderate Anxiety', 'Normal Stress', 'High CRF', 'Moderate TN'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate CN', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate CN', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CN', 'High CRF', 'Normal Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['Positive Delta', 'Moderate CN', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate CP', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate CP', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate CP', 'Positive Delta', 'High CRF'] --> ['High PostTest']"
"['Moderate CP', 'Positive Delta', 'High CRF', 'Moderate TN'] --> ['High PostTest']"
"['Moderate CP', 'Positive Delta', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CP', 'Positive Delta', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Moderate ESF', 'High CRF', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate TP', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate TP', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate TP', 'Positive Delta', 'High CRF'] --> ['High PostTest']"
"['Moderate ESF', 'Negative Delta', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate ESF', 'Negative Delta', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Normal Depression', 'High CRF', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate TP', 'Positive Delta', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate TP', 'Positive Delta', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Negative Delta', 'High CRF', 'Normal Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'High ESF', 'High PreTest'] --> ['High PostTest']"
"['Moderate Anxiety', 'High ESF', 'High PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CP', 'High ESF', 'High PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Moderate TP', 'High ESF', 'High PreTest', 'Normal Depression'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'High ESF', 'Positive Delta'] --> ['High PostTest']"
"['High TP', 'Moderate CRF', 'High ESF', 'Positive Delta'] --> ['High PostTest']"
"['High TP', 'High ESF', 'Normal Depression', 'Moderate TN'] --> ['High PostTest']"
"['High TP', 'High ESF', 'Positive Delta', 'Moderate TN'] --> ['High PostTest']"
"['Low CN', 'High ESF', 'Moderate TP', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CP', 'High ESF', 'Moderate CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CP', 'High ESF', 'Positive Delta', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CRF', 'High ESF', 'Positive Delta', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'High ESF', 'Positive Delta', 'Normal Depression'] --> ['High PostTest']"
"['High TP', 'High PreTest', 'High TN', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate CRF', 'High PreTest', 'High TN'] --> ['High PostTest']"
"['High TP', 'High PreTest', 'Mild Anxiety', 'Low ESF'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'High PreTest', 'Low ESF'] --> ['High PostTest']"
"['High TP', 'High PreTest', 'Moderate TN', 'Low ESF'] --> ['High PostTest']"
"['High TP', 'High PreTest', 'Severe Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['High TP', 'High PreTest', 'Normal Stress', 'Severe Anxiety'] --> ['High PostTest']"
"['Low CN', 'Moderate CP', 'High PreTest', 'Mild Anxiety'] --> ['High PostTest']"
"['Low CN', 'High PreTest', 'Moderate TN', 'Mild Anxiety'] --> ['High PostTest']"
"['Low CN', 'Moderate TP', 'High PreTest', 'Mild Anxiety'] --> ['High PostTest']"
"['Low CN', 'Mild Depression', 'High PreTest', 'Normal Anxiety'] --> ['High PostTest']"
"['Low CN', 'Moderate CRF', 'Mild Stress', 'High PreTest'] --> ['High PostTest']"
"['Low CN', 'Mild Stress', 'High PreTest', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'Mild Stress', 'High PreTest'] --> ['High PostTest']"
"['Low CN', 'Moderate CRF', 'High PreTest', 'Severe Anxiety'] --> ['High PostTest']"
"['Low CN', 'High PreTest', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'High PreTest', 'Severe Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'High PreTest', 'Normal Stress', 'Severe Anxiety'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'High PreTest', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'High PreTest', 'Low TN', 'Mild Anxiety'] --> ['High PostTest']"
"['Moderate TP', 'High PreTest', 'Low TN', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CRF', 'High PreTest', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'High PreTest', 'Moderate TN', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'High PreTest', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CRF', 'High PreTest', 'Normal Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'High PreTest', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'High PreTest', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate TP', 'High PreTest', 'Moderate CN', 'Normal Anxiety'] --> ['High PostTest']"
"['Severe Anxiety', 'Positive Delta', 'High PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Positive Delta', 'High PreTest', 'Normal Stress'] --> ['High PostTest']"
"['High TP', 'Moderate Anxiety', 'Low CN', 'Low ESF'] --> ['High PostTest']"
"['High TP', 'Low CN', 'Moderate TN', 'Low ESF'] --> ['High PostTest']"
"['High TP', 'Moderate CRF', 'Low CN', 'Severe Anxiety'] --> ['High PostTest']"
"['High TP', 'Positive Delta', 'Low CN', 'Moderate Depression'] --> ['High PostTest']"
"['High TP', 'Severe Anxiety', 'Low CN', 'Moderate ESF'] --> ['High PostTest']"
"['High TP', 'Low CN', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['High TP', 'Moderate Anxiety', 'Normal Depression', 'Low ESF'] --> ['High PostTest']"
"['High TP', 'Moderate CN', 'Normal Depression', 'Low ESF'] --> ['High PostTest']"
"['High TP', 'Normal Depression', 'Moderate TN', 'Low ESF'] --> ['High PostTest']"
"['High TP', 'Mild Depression', 'Moderate CP', 'Low TN'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Low TN', 'Moderate PreTest'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Negative Delta', 'Low TN'] --> ['High PostTest']"
"['High TP', 'Mild Depression', 'Moderate CRF', 'Mild Anxiety'] --> ['High PostTest']"
"['High TP', 'Mild Depression', 'Positive Delta', 'Mild Anxiety'] --> ['High PostTest']"
