Rule
['High CN'] --> ['Negative Delta']
['Low PreTest'] --> ['Positive Delta']
['Low TP'] --> ['Positive Delta']
['Moderate Stress'] --> ['Positive Delta']
"['High CN', 'High PostTest'] --> ['Positive Delta']"
"['High TP', 'High CN'] --> ['Positive Delta']"
"['Moderate CRF', 'High CN'] --> ['Positive Delta']"
"['High CN', 'Normal Depression'] --> ['Positive Delta']"
"['Normal Stress', 'High CN'] --> ['Positive Delta']"
"['Moderate Stress', 'High CP'] --> ['Positive Delta']"
"['High CRF', 'Low ESF'] --> ['Positive Delta']"
"['Mild Depression', 'High ESF'] --> ['Positive Delta']"
"['High TN', 'Moderate PreTest'] --> ['Positive Delta']"
"['High TN', 'Normal Depression'] --> ['Positive Delta']"
"['High TN', 'Normal Stress'] --> ['Positive Delta']"
"['High TP', 'Moderate Stress'] --> ['Positive Delta']"
"['Low CN', 'Low TP'] --> ['Positive Delta']"
"['Mild Depression', 'Low ESF'] --> ['Positive Delta']"
"['Severe Anxiety', 'Low ESF'] --> ['Positive Delta']"
"['Mild Stress', 'Low TN'] --> ['Positive Delta']"
"['Severe Anxiety', 'Low TN'] --> ['Positive Delta']"
"['Low TP', 'Moderate ESF'] --> ['Positive Delta']"
"['Low TP', 'Normal Stress'] --> ['Positive Delta']"
"['Mild Stress', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate PreTest', 'Moderate Depression'] --> ['Positive Delta']"
"['Normal Anxiety', 'Moderate Depression'] --> ['Positive Delta']"
"['Severe Anxiety', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate TP', 'High TN', 'High PostTest'] --> ['Positive Delta']"
"['Moderate TP', 'Mild Stress', 'High PostTest'] --> ['Positive Delta']"
"['Mild Stress', 'Normal Depression', 'High PostTest'] --> ['Positive Delta']"
"['Normal Anxiety', 'High PreTest', 'Low ESF'] --> ['Positive Delta']"
"['Severe Anxiety', 'Mild Depression', 'High PreTest'] --> ['Positive Delta']"
"['Moderate ESF', 'High PreTest', 'Moderate Stress'] --> ['Positive Delta']"
"['Moderate CP', 'Moderate CRF', 'High TN'] --> ['Positive Delta']"
"['High TP', 'Low TN', 'Severe Anxiety'] --> ['Positive Delta']"
"['High TP', 'Moderate CP', 'Mild Anxiety'] --> ['Positive Delta']"
"['High TP', 'Mild Depression', 'Severe Anxiety'] --> ['Positive Delta']"
"['High TP', 'Moderate PreTest', 'Moderate Depression'] --> ['Positive Delta']"
"['Low CN', 'Moderate Anxiety', 'Low ESF'] --> ['Positive Delta']"
"['Low CN', 'Moderate CP', 'Low ESF'] --> ['Positive Delta']"
"['Low CN', 'Mild Stress', 'Normal Depression'] --> ['Positive Delta']"
"['Low CN', 'Moderate CRF', 'Severe Anxiety'] --> ['Positive Delta']"
"['Low CN', 'Moderate ESF', 'Moderate Depression'] --> ['Positive Delta']"
"['Low CN', 'Severe Anxiety', 'Moderate ESF'] --> ['Positive Delta']"
"['Low CN', 'Moderate TP', 'Severe Anxiety'] --> ['Positive Delta']"
"['Moderate CP', 'Low TN', 'Low ESF'] --> ['Positive Delta']"
"['Moderate TP', 'Low TN', 'Low ESF'] --> ['Positive Delta']"
"['Mild Anxiety', 'Moderate TN', 'Low ESF'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Moderate PreTest', 'Low ESF'] --> ['Positive Delta']"
"['Moderate CN', 'Moderate PreTest', 'Low ESF'] --> ['Positive Delta']"
"['Normal Anxiety', 'Moderate CN', 'Low ESF'] --> ['Positive Delta']"
"['Moderate CP', 'Moderate PreTest', 'Low ESF'] --> ['Positive Delta']"
"['Moderate PreTest', 'Moderate TN', 'Low ESF'] --> ['Positive Delta']"
"['Normal Anxiety', 'Moderate TN', 'Low ESF'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Moderate CP', 'Low TN'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Moderate TP', 'Low TN'] --> ['Positive Delta']"
"['Moderate CN', 'Low TN', 'Moderate PreTest'] --> ['Positive Delta']"
"['Severe Anxiety', 'Moderate CRF', 'Low TN'] --> ['Positive Delta']"
"['Moderate ESF', 'Low TN', 'Severe Anxiety'] --> ['Positive Delta']"
"['Mild Depression', 'Mild Anxiety', 'Moderate CN'] --> ['Positive Delta']"
"['Mild Depression', 'Moderate CP', 'Mild Anxiety'] --> ['Positive Delta']"
"['Mild Depression', 'Mild Anxiety', 'Moderate PreTest'] --> ['Positive Delta']"
"['Mild Anxiety', 'Moderate CN', 'Moderate PreTest'] --> ['Positive Delta']"
"['Mild Anxiety', 'Normal Stress', 'Moderate Depression'] --> ['Positive Delta']"
"['Moderate ESF', 'Mild Stress', 'Moderate TP'] --> ['Positive Delta']"
"['Moderate CRF', 'Moderate PreTest', 'Moderate Depression'] --> ['Positive Delta']"
"['Severe Anxiety', 'Moderate CRF', 'Moderate PreTest'] --> ['Positive Delta']"
"['Normal Stress', 'Moderate PreTest', 'Moderate Depression'] --> ['Positive Delta']"
"['Moderate ESF', 'Moderate PreTest', 'Severe Anxiety'] --> ['Positive Delta']"
"['Severe Anxiety', 'Moderate PreTest', 'Normal Depression'] --> ['Positive Delta']"
"['Moderate CRF', 'High ESF', 'High CP', 'High PostTest'] --> ['Positive Delta']"
"['Moderate CRF', 'High ESF', 'High CP', 'Normal Anxiety'] --> ['Positive Delta']"
"['Moderate Depression', 'Normal Stress', 'High CP', 'High PostTest'] --> ['Positive Delta']"
"['Moderate ESF', 'High PreTest', 'High TN', 'High CP'] --> ['Positive Delta']"
"['Mild Stress', 'High PreTest', 'Normal Depression', 'High CP'] --> ['Positive Delta']"
"['Severe Anxiety', 'High PreTest', 'Normal Stress', 'High CP'] --> ['Positive Delta']"
"['Low CN', 'Moderate CRF', 'Mild Stress', 'High CP'] --> ['Positive Delta']"
"['Low CN', 'Mild Stress', 'Moderate ESF', 'High CP'] --> ['Positive Delta']"
"['Normal Stress', 'Moderate CN', 'High CP', 'Low ESF'] --> ['Positive Delta']"
"['Mild Depression', 'Moderate TN', 'High CP', 'Normal Anxiety'] --> ['Positive Delta']"
"['Moderate CRF', 'Mild Stress', 'Normal Depression', 'High CP'] --> ['Positive Delta']"
"['Normal Depression', 'Moderate CN', 'Moderate PreTest', 'High CP'] --> ['Positive Delta']"
"['Moderate TN', 'Moderate PreTest', 'High CP', 'Normal Anxiety'] --> ['Positive Delta']"
"['Moderate ESF', 'High PreTest', 'High CRF', 'Moderate Depression'] --> ['Positive Delta']"
"['Low CN', 'Moderate Anxiety', 'High CRF', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate Anxiety', 'High CRF', 'Moderate ESF', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Normal Stress', 'High CRF', 'Moderate ESF'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Normal Stress', 'High CRF', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Normal Depression', 'High CRF', 'Moderate TN'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Normal Stress', 'High CRF', 'Moderate TN'] --> ['Positive Delta']"
"['Moderate CN', 'High CRF', 'Normal Depression', 'Normal Anxiety'] --> ['Positive Delta']"
"['Moderate ESF', 'High CRF', 'Moderate TN', 'Normal Anxiety'] --> ['Positive Delta']"
"['Normal Depression', 'High CRF', 'Moderate TN', 'Normal Anxiety'] --> ['Positive Delta']"
"['High ESF', 'High PreTest', 'Mild Anxiety', 'High PostTest'] --> ['Positive Delta']"
"['High TP', 'High ESF', 'Mild Anxiety', 'High PostTest'] --> ['Positive Delta']"
"['High TP', 'High ESF', 'Moderate CN', 'High PostTest'] --> ['Positive Delta']"
"['High ESF', 'Moderate CN', 'Normal Stress', 'High PostTest'] --> ['Positive Delta']"
"['Moderate CRF', 'High ESF', 'Moderate TN', 'High PostTest'] --> ['Positive Delta']"
"['Moderate Anxiety', 'High ESF', 'High PreTest', 'Normal Depression'] --> ['Positive Delta']"
"['Moderate TP', 'High ESF', 'High PreTest', 'Normal Depression'] --> ['Positive Delta']"
"['High TP', 'High ESF', 'Normal Depression', 'Moderate TN'] --> ['Positive Delta']"
"['Low CN', 'High ESF', 'Moderate TP', 'Normal Depression'] --> ['Positive Delta']"
"['Mild Stress', 'High PreTest', 'Normal Depression', 'High PostTest'] --> ['Positive Delta']"
"['High TP', 'Normal Stress', 'Moderate Depression', 'High PostTest'] --> ['Positive Delta']"
"['Low CN', 'Moderate CRF', 'Moderate Depression', 'High PostTest'] --> ['Positive Delta']"
"['Low CN', 'Normal Stress', 'Moderate Depression', 'High PostTest'] --> ['Positive Delta']"
"['Moderate CRF', 'Mild Stress', 'Normal Depression', 'High PostTest'] --> ['Positive Delta']"
"['Low CN', 'Moderate CP', 'High PreTest', 'Mild Anxiety'] --> ['Positive Delta']"
"['Low CN', 'Moderate TP', 'High PreTest', 'Mild Anxiety'] --> ['Positive Delta']"
"['Low CN', 'Moderate CRF', 'Mild Stress', 'High PreTest'] --> ['Positive Delta']"
"['Low CN', 'Mild Stress', 'High PreTest', 'Moderate ESF'] --> ['Positive Delta']"
"['Low CN', 'Moderate CRF', 'High PreTest', 'Severe Anxiety'] --> ['Positive Delta']"
"['Low CN', 'High PreTest', 'Severe Anxiety', 'Moderate ESF'] --> ['Positive Delta']"
"['Low CN', 'High PreTest', 'Severe Anxiety', 'Normal Depression'] --> ['Positive Delta']"
"['Low CN', 'High PreTest', 'Normal Stress', 'Severe Anxiety'] --> ['Positive Delta']"
"['Moderate TP', 'High PreTest', 'Low TN', 'Mild Anxiety'] --> ['Positive Delta']"
"['Mild Depression', 'High PreTest', 'Moderate TN', 'Normal Anxiety'] --> ['Positive Delta']"
"['High TP', 'Moderate Anxiety', 'Low CN', 'Low ESF'] --> ['Positive Delta']"
"['High TP', 'Moderate Anxiety', 'Normal Depression', 'Low ESF'] --> ['Positive Delta']"
"['High TP', 'Moderate CN', 'Normal Depression', 'Low ESF'] --> ['Positive Delta']"
"['High TP', 'Moderate CP', 'Mild Anxiety', 'Normal Depression'] --> ['Positive Delta']"
"['High TP', 'Mild Depression', 'Moderate TN', 'Normal Anxiety'] --> ['Positive Delta']"
"['High TP', 'Moderate CP', 'Moderate CN', 'Moderate PreTest'] --> ['Positive Delta']"
"['High TP', 'Moderate CP', 'Moderate CN', 'Normal Stress'] --> ['Positive Delta']"
"['High TP', 'Moderate CN', 'Moderate PreTest', 'Normal Depression'] --> ['Positive Delta']"
"['High TP', 'Moderate CN', 'Moderate PreTest', 'Normal Stress'] --> ['Positive Delta']"
"['High TP', 'Moderate CP', 'Moderate PreTest', 'Moderate ESF'] --> ['Positive Delta']"
"['High TP', 'Moderate CP', 'Moderate PreTest', 'Normal Anxiety'] --> ['Positive Delta']"
"['High TP', 'Moderate CP', 'Moderate PreTest', 'Normal Depression'] --> ['Positive Delta']"
"['High TP', 'Moderate PreTest', 'Moderate TN', 'Normal Anxiety'] --> ['Positive Delta']"
"['High TP', 'Normal Depression', 'Moderate PreTest', 'Moderate TN'] --> ['Positive Delta']"
"['Low CN', 'Moderate CP', 'Moderate Anxiety', 'Normal Depression'] --> ['Positive Delta']"
"['Low CN', 'Moderate TP', 'Moderate Anxiety', 'Normal Depression'] --> ['Positive Delta']"
"['Low CN', 'Normal Depression', 'Moderate PreTest', 'Moderate TN'] --> ['Positive Delta']"
"['Mild Depression', 'Moderate CRF', 'Low TN', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate ESF', 'Mild Depression', 'Moderate TP', 'Low TN'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Moderate CP', 'Low TN', 'Moderate ESF'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Moderate TP', 'Low TN', 'Moderate ESF'] --> ['Positive Delta']"
"['Mild Depression', 'Moderate CRF', 'Moderate CN', 'Normal Anxiety'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Moderate CN', 'Moderate PreTest', 'Normal Depression'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Moderate CP', 'Moderate PreTest', 'Normal Depression'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Normal Depression', 'Moderate PreTest', 'Moderate TN'] --> ['Positive Delta']"
